Value,Label,Class
11,Post-flooding or irrigated croplands (or aquatic),crop
14,Rainfed croplands,crop
20,Mosaic cropland (50-70\%) / vegetation (grassland/shrubland/forest) (20-50\%),crop
30,Mosaic vegetation (grassland/shrubland/forest) (50-70\%) / cropland (20-50\%) ,grass
40,Closed to open (>15\%) broadleaved evergreen or semi-deciduous forest (>5m),forest
50,Closed (>40\%) broadleaved deciduous forest (>5m),forest
60,Open (15-40\%) broadleaved deciduous forest/woodland (>5m),forest
70,Closed (>40\%) needleleaved evergreen forest (>5m),forest
90,Open (15-40\%) needleleaved deciduous or evergreen forest (>5m),forest
100,Closed to open (>15\%) mixed broadleaved and needleleaved forest (>5m),forest
110,Mosaic forest or shrubland (50-70\%) / grassland (20-50\%),forest
120,Mosaic grassland (50-70\%) / forest or shrubland (20-50\%) ,grass
130,Closed to open (>15\%) (broadleaved or needleleaved; evergreen or deciduous) shrubland (<5m),grass
140,Closed to open (>15\%) herbaceous vegetation (grassland; savannas or lichens/mosses),grass
150,Sparse (<15\%) vegetation,grass
160,Closed to open (>15\%) broadleaved forest regularly flooded (semi-permanently or temporarily) - Fresh or brackish water,forest
170,Closed (>40\%) broadleaved forest or shrubland permanently flooded - Saline or brackish water,forest
180,Closed to open (>15\%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh; brackish or saline water,grass
190,Artificial surfaces and associated areas (Urban areas >50\%),urban
200,Bare areas,other
210,Water bodies,other
220,Permanent snow and ice,other
230,No data (burnt areas; clouds;...),NA
